State,Winner,Year
Alabama,Republican,1964
Alaska,Democrat,1964
Arizona,Republican,1964
Arkansas,Democrat,1964
California,Democrat,1964
Colorado,Democrat,1964
Connecticut,Democrat,1964
Delaware,Democrat,1964
Florida,Democrat,1964
Georgia,Republican,1964
Hawaii,Democrat,1964
Idaho,Democrat,1964
Illinois,Democrat,1964
Indiana,Democrat,1964
Iowa,Democrat,1964
Kansas,Democrat,1964
Kentucky,Democrat,1964
Louisiana,Republican,1964
Maine,Democrat,1964
Maryland,Democrat,1964
Massachusetts,Democrat,1964
Michigan,Democrat,1964
Minnesota,Democrat,1964
Mississippi,Republican,1964
Missouri,Democrat,1964
Montana,Democrat,1964
Nebraska,Democrat,1964
Nevada,Democrat,1964
New Hampshire,Democrat,1964
New Jersey,Democrat,1964
New Mexico,Democrat,1964
New York,Democrat,1964
North Carolina,Democrat,1964
North Dakota,Democrat,1964
Ohio,Democrat,1964
Oklahoma,Democrat,1964
Oregon,Democrat,1964
Pennsylvania,Democrat,1964
Rhode Island,Democrat,1964
South Carolina,Republican,1964
South Dakota,Democrat,1964
Tennessee,Democrat,1964
Texas,Democrat,1964
Utah,Democrat,1964
Vermont,Democrat,1964
Virginia,Democrat,1964
Washington,Democrat,1964
West Virginia,Democrat,1964
Wisconsin,Democrat,1964
Wyoming,Democrat,1964
Washington DC,Democrat,1964
Alabama,Democrat,1968
Alaska,Republican,1968
Arizona,Republican,1968
Arkansas,Independent,1968
California,Republican,1968
Colorado,Republican,1968
Connecticut,Democrat,1968
Delaware,Democrat,1968
Florida,Republican,1968
Georgia,Independent,1968
Hawaii,Democrat,1968
Idaho,Republican,1968
Illinois,Republican,1968
Indiana,Republican,1968
Iowa,Republican,1968
Kansas,Republican,1968
Kentucky,Republican,1968
Louisiana,Independent,1968
Maine,Democrat,1968
Maryland,Democrat,1968
Massachusetts,Democrat,1968
Michigan,Democrat,1968
Minnesota,Democrat,1968
Mississippi,Independent,1968
Missouri,Republican,1968
Montana,Republican,1968
Nebraska,Republican,1968
Nevada,Republican,1968
New Hampshire,Republican,1968
New Jersey,Republican,1968
New Mexico,Republican,1968
New York,Democrat,1968
North Carolina,Republican,1968
North Dakota,Republican,1968
Ohio,Republican,1968
Oklahoma,Republican,1968
Oregon,Republican,1968
Pennsylvania,Democrat,1968
Rhode Island,Democrat,1968
South Carolina,Republican,1968
South Dakota,Republican,1968
Tennessee,Republican,1968
Texas,Democrat,1968
Utah,Republican,1968
Vermont,Republican,1968
Virginia,Republican,1968
Washington,Democrat,1968
West Virginia,Democrat,1968
Wisconsin,Republican,1968
Wyoming,Republican,1968
Washington DC,Democrat,1968
Alabama,Republican,1972
Alaska,Republican,1972
Arizona,Republican,1972
Arkansas,Republican,1972
California,Republican,1972
Colorado,Republican,1972
Connecticut,Republican,1972
Delaware,Republican,1972
Florida,Republican,1972
Georgia,Republican,1972
Hawaii,Republican,1972
Idaho,Republican,1972
Illinois,Republican,1972
Indiana,Republican,1972
Iowa,Republican,1972
Kansas,Republican,1972
Kentucky,Republican,1972
Louisiana,Republican,1972
Maine,Republican,1972
Maryland,Republican,1972
Massachusetts,Democrat,1972
Michigan,Republican,1972
Minnesota,Republican,1972
Mississippi,Republican,1972
Missouri,Republican,1972
Montana,Republican,1972
Nebraska,Republican,1972
Nevada,Republican,1972
New Hampshire,Republican,1972
New Jersey,Republican,1972
New Mexico,Republican,1972
New York,Republican,1972
North Carolina,Republican,1972
North Dakota,Republican,1972
Ohio,Republican,1972
Oklahoma,Republican,1972
Oregon,Republican,1972
Pennsylvania,Republican,1972
Rhode Island,Republican,1972
South Carolina,Republican,1972
South Dakota,Republican,1972
Tennessee,Republican,1972
Texas,Republican,1972
Utah,Republican,1972
Vermont,Republican,1972
Virginia,Republican,1972
Washington,Republican,1972
West Virginia,Republican,1972
Wisconsin,Republican,1972
Wyoming,Republican,1972
Washington DC,Democrat,1972
Alabama,Democrat,1976
Alaska,Republican,1976
Arizona,Republican,1976
Arkansas,Democrat,1976
California,Republican,1976
Colorado,Republican,1976
Connecticut,Republican,1976
Delaware,Democrat,1976
Florida,Democrat,1976
Georgia,Democrat,1976
Hawaii,Democrat,1976
Idaho,Republican,1976
Illinois,Republican,1976
Indiana,Republican,1976
Iowa,Republican,1976
Kansas,Republican,1976
Kentucky,Democrat,1976
Louisiana,Democrat,1976
Maine,Republican,1976
Maryland,Democrat,1976
Massachusetts,Democrat,1976
Michigan,Republican,1976
Minnesota,Democrat,1976
Mississippi,Democrat,1976
Missouri,Democrat,1976
Montana,Republican,1976
Nebraska,Republican,1976
Nevada,Republican,1976
New Hampshire,Republican,1976
New Jersey,Republican,1976
New Mexico,Republican,1976
New York,Democrat,1976
North Carolina,Democrat,1976
North Dakota,Republican,1976
Ohio,Democrat,1976
Oklahoma,Republican,1976
Oregon,Republican,1976
Pennsylvania,Democrat,1976
Rhode Island,Democrat,1976
South Carolina,Democrat,1976
South Dakota,Republican,1976
Tennessee,Democrat,1976
Texas,Democrat,1976
Utah,Republican,1976
Vermont,Republican,1976
Virginia,Republican,1976
Washington,Republican,1976
West Virginia,Democrat,1976
Wisconsin,Democrat,1976
Wyoming,Republican,1976
Washington DC,Democrat,1976
Alabama,Republican,1980
Alaska,Republican,1980
Arizona,Republican,1980
Arkansas,Republican,1980
California,Republican,1980
Colorado,Republican,1980
Connecticut,Republican,1980
Delaware,Republican,1980
Florida,Republican,1980
Georgia,Democrat,1980
Hawaii,Democrat,1980
Idaho,Republican,1980
Illinois,Republican,1980
Indiana,Republican,1980
Iowa,Republican,1980
Kansas,Republican,1980
Kentucky,Republican,1980
Louisiana,Republican,1980
Maine,Republican,1980
Maryland,Democrat,1980
Massachusetts,Republican,1980
Michigan,Republican,1980
Minnesota,Democrat,1980
Mississippi,Republican,1980
Missouri,Republican,1980
Montana,Republican,1980
Nebraska,Republican,1980
Nevada,Republican,1980
New Hampshire,Republican,1980
New Jersey,Republican,1980
New Mexico,Republican,1980
New York,Republican,1980
North Carolina,Republican,1980
North Dakota,Republican,1980
Ohio,Republican,1980
Oklahoma,Republican,1980
Oregon,Republican,1980
Pennsylvania,Republican,1980
Rhode Island,Democrat,1980
South Carolina,Republican,1980
South Dakota,Republican,1980
Tennessee,Republican,1980
Texas,Republican,1980
Utah,Republican,1980
Vermont,Republican,1980
Virginia,Republican,1980
Washington,Republican,1980
West Virginia,Democrat,1980
Wisconsin,Republican,1980
Wyoming,Republican,1980
Washington DC,Democrat,1980
